ID	Fwy	Dir	District	County	City	State_PM	Abs_PM	Latitude	Longitude	Length	Type	Lanes	Name	User_ID_1	User_ID_2	User_ID_3	User_ID_4
715898	5	S	7	37	40032	.71	117.28	33.880183	-118.021787	.43	ML	3	PHOEBE	2029			
715900	5	S	7	37	40032	1.06	117.63	33.882892	-118.026822		OR	1	VALLEY VIEW	3255			
715901	5	N	7	37	40032	1.11	117.743	33.8834	-118.027451		OR	1	VALLEY VIEW	3268			
715903	5	N	7	37	69154	1.56	118.193	33.886992	-118.034125		OR	1	ALONDRA	3269			
715904	5	S	7	37	69154	2.27	118.84	33.892489	-118.044573		OR	1	CARMENITA	3253			
715905	5	N	7	37	52526	2.52	119.153	33.894587	-118.048098		OR	1	CARMENITA	3270			
715906	5	S	7	37	52526	3.28	119.85	33.900669	-118.059422		OR	1	ROSECRANS	3252			
715907	5	S	7	37	52526	3.62	120.19	33.903961	-118.064046		OR	1	FIRESTONE	3251			
715908	5	S	7	37	52526	4.28	120.85	33.911074	-118.071686		OR	1	SAN ANTONIO/NORWALK	3090			
715910	5	N	7	37	52526	4.58	121.213	33.913564	-118.075867		OR	1	NORWALK SB	3273			
715911	5	S	7	37	52526	4.89	121.46	33.916643	-118.079557		OR	1	IMPERIAL	3091			
715912	5	N	7	37	52526	4.96	121.593	33.917571	-118.080056		OR	1	IMPERIAL	3274			
715913	5	S	7	37	52526	5.22	121.79	33.920763	-118.082501		FR	1	PIONEER	2581			
715915	5	N	7	37	52526	5.5	122.133	33.924353	-118.084803	.62	ML	3	TINA	2026			
715916	5	S	7	37	52526	5.5	122.07	33.924281	-118.084952	.71	ML	3	TINA	2026			
715918	5	N	7	37	52526	6.2	122.833	33.93311	-118.091005	.615	ML	3	ORR - DAY	2579			
715920	5	S	7	37	52526	6.64	123.21	33.938544	-118.094941	1.15	ML	4	S OF 605	2296			
715923	5	S	7	37	19766	8.21	124.78	33.956897	-118.110532		OR	1	LAKEWOOD NB	3045			
715924	5	N	7	37	19766	8.27	124.903	33.957583	-118.111199		OR	1	LAKEWOOD NB	3586			
715925	5	S	7	37	19766	8.35	124.92	33.958225	-118.11239		OR	1	LAKEWOOD SB	3044			
